               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.021345,             0.01369,           0.0051734,             0.87654,             0.87653,             0.92854,             0.79739,            0.011974,           0.0059456,            0.003369,            0.005248,            0.005248,            0.005248
                  50,            0.021366,            0.013716,           0.0051424,             0.87671,             0.87588,             0.92853,             0.79887,            0.011954,           0.0059354,           0.0033929,            0.005149,            0.005149,            0.005149
                  51,            0.021115,            0.013811,           0.0052118,             0.87611,             0.87646,             0.92844,             0.79995,            0.011943,           0.0059227,           0.0033952,             0.00505,             0.00505,             0.00505
                  52,            0.021042,            0.013708,           0.0048723,             0.87261,             0.88316,             0.92877,             0.80083,            0.011923,           0.0059131,           0.0033948,            0.004951,            0.004951,            0.004951
                  53,            0.021191,            0.013652,           0.0049912,             0.87227,             0.88639,             0.92918,             0.80097,            0.011921,           0.0059078,           0.0033929,            0.004852,            0.004852,            0.004852
                  54,            0.020767,            0.013535,           0.0047523,             0.87389,             0.88676,             0.92965,             0.80075,            0.011915,           0.0059019,           0.0033615,            0.004753,            0.004753,            0.004753
                  55,            0.020823,            0.013455,           0.0047333,             0.87142,             0.88829,             0.92973,             0.80213,            0.011912,           0.0058937,           0.0033273,            0.004654,            0.004654,            0.004654
                  56,            0.020723,            0.013496,           0.0047157,             0.87273,              0.8878,             0.92978,             0.80185,            0.011905,           0.0058852,           0.0033202,            0.004555,            0.004555,            0.004555
                  57,            0.020677,            0.013545,           0.0046465,             0.87666,             0.88575,             0.93019,             0.80187,            0.011898,           0.0058767,           0.0033061,            0.004456,            0.004456,            0.004456
                  58,            0.020562,            0.013379,           0.0044686,             0.87926,             0.88387,             0.93011,             0.80275,            0.011891,           0.0058734,           0.0032777,            0.004357,            0.004357,            0.004357
                  59,            0.020346,            0.013363,           0.0044955,             0.87686,             0.88662,             0.93018,             0.80244,            0.011883,           0.0058705,           0.0032625,            0.004258,            0.004258,            0.004258
                  60,            0.020379,            0.013298,           0.0045701,              0.8795,             0.88667,             0.93018,             0.80384,            0.011873,           0.0058702,           0.0032445,            0.004159,            0.004159,            0.004159
                  61,            0.020314,            0.013276,           0.0044207,             0.87735,             0.88837,             0.93048,             0.80298,            0.011861,           0.0058687,           0.0032357,             0.00406,             0.00406,             0.00406
                  62,            0.020176,              0.0132,           0.0042466,             0.87634,             0.88812,             0.93054,             0.80425,            0.011852,           0.0058653,            0.003229,            0.003961,            0.003961,            0.003961
                  63,            0.020038,            0.013303,           0.0042878,              0.8762,             0.88883,             0.93078,             0.80418,            0.011848,           0.0058616,           0.0032186,            0.003862,            0.003862,            0.003862
                  64,            0.020062,            0.012973,           0.0041391,             0.87681,             0.88875,             0.93078,             0.80434,            0.011843,           0.0058613,           0.0032147,            0.003763,            0.003763,            0.003763
                  65,             0.01994,            0.013272,           0.0040271,             0.87767,             0.88901,             0.93089,              0.8046,            0.011837,           0.0058603,           0.0032166,            0.003664,            0.003664,            0.003664
                  66,            0.020018,             0.01306,           0.0042622,              0.8743,             0.88816,             0.93122,             0.80506,            0.011831,           0.0058561,           0.0032114,            0.003565,            0.003565,            0.003565
                  67,            0.019944,            0.013091,           0.0039679,             0.87393,             0.88837,             0.93148,             0.80535,            0.011821,           0.0058518,           0.0032061,            0.003466,            0.003466,            0.003466
                  68,            0.019773,             0.01314,           0.0043323,             0.87428,             0.88934,             0.93154,             0.80583,            0.011815,           0.0058509,           0.0032046,            0.003367,            0.003367,            0.003367
                  69,            0.019688,            0.012951,           0.0041422,             0.87453,             0.88772,             0.93171,             0.80618,             0.01181,           0.0058473,           0.0032012,            0.003268,            0.003268,            0.003268
                  70,             0.01953,            0.012868,           0.0039937,             0.87407,              0.8868,             0.93169,             0.80651,            0.011809,           0.0058461,           0.0031973,            0.003169,            0.003169,            0.003169
                  71,            0.019434,            0.012855,           0.0037409,             0.87523,             0.88692,             0.93168,             0.80631,            0.011802,           0.0058453,           0.0031958,             0.00307,             0.00307,             0.00307
                  72,            0.019456,            0.012867,           0.0037649,             0.87353,             0.88845,             0.93176,              0.8069,            0.011797,            0.005843,           0.0031946,            0.002971,            0.002971,            0.002971
                  73,            0.019319,            0.012796,           0.0037331,              0.8705,             0.89014,             0.93182,             0.80733,            0.011792,            0.005841,           0.0031976,            0.002872,            0.002872,            0.002872
                  74,             0.01926,            0.012954,           0.0036118,             0.86806,             0.89118,             0.93204,             0.80755,            0.011789,           0.0058386,           0.0032018,            0.002773,            0.002773,            0.002773
                  75,            0.019177,            0.012567,           0.0035428,             0.86708,             0.89219,             0.93212,             0.80764,            0.011784,            0.005838,           0.0032055,            0.002674,            0.002674,            0.002674
                  76,            0.018964,            0.012637,           0.0035762,             0.86463,             0.89403,              0.9322,             0.80751,            0.011786,           0.0058357,           0.0032125,            0.002575,            0.002575,            0.002575
                  77,            0.018904,            0.012397,            0.003558,             0.86243,              0.8984,             0.93246,             0.80796,            0.011785,           0.0058332,           0.0032119,            0.002476,            0.002476,            0.002476
                  78,            0.018991,            0.012596,           0.0035037,             0.86259,             0.89899,              0.9324,             0.80814,            0.011782,            0.005831,           0.0032157,            0.002377,            0.002377,            0.002377
                  79,            0.018751,             0.01248,           0.0034558,             0.86359,             0.89964,             0.93249,             0.80853,             0.01178,           0.0058299,           0.0032174,            0.002278,            0.002278,            0.002278
                  80,            0.018683,            0.012489,           0.0034852,             0.86634,             0.89698,             0.93266,             0.80766,            0.011782,           0.0058298,           0.0032167,            0.002179,            0.002179,            0.002179
                  81,            0.018597,            0.012383,           0.0030855,             0.86461,             0.90007,             0.93285,             0.80776,            0.011783,           0.0058275,           0.0032231,             0.00208,             0.00208,             0.00208
                  82,            0.018671,            0.012319,           0.0031947,             0.86429,             0.90118,             0.93296,             0.80801,            0.011781,           0.0058277,           0.0032336,            0.001981,            0.001981,            0.001981
